Type,n,Result,Relative_error,time_use_parallel,time_use_nonparallel,StandardError
gauleg,10,0.129834,0.326466,0.021025232,0.038823399999999994,0
gauleg,15,0.199475,0.0348043,0.1436784,0.43765580000000004,0
gauleg,20,0.177065,0.0814488,0.7488488,2.70073,0
gauleg,25,0.18911,0.018967,3.1073880000000003,nan,0
gauleg,30,0.185796,0.0361583,8.855728,29.371280000000002,0
gauleg,40,0.18867,0.0212464,49.99648,nan,0
gauleg,45,0.190128,0.0136823,95.06266000000001,nan,0
gauleg,55,0.190669,0.0108763,303.598,nan,0
gauleg,65,0.191035,0.00897612,823.381,nan,0
gaulag,10,0.177081,0.0813679,0.05331922,0.11159820000000001,0
gaulag,15,0.193285,0.00269565,0.3914072,1.200048,0
gaulag,20,0.194786,0.0104784,2.0449960000000003,7.023426000000001,0
gaulag,25,0.194804,0.0105751,8.183449999999999,nan,0
gaulag,30,0.194779,0.010443,25.867700000000003,81.02269999999999,0
gaulag,40,0.194669,0.009873,142.9906,nan,0
gaulag,45,0.194594,0.00948246,269.74480000000005,nan,0
gaulag,55,0.194439,0.00868232,884.532,nan,0
gaulag,65,0.194298,0.00794811,2429.59,nan,0
no_importance_sampling,1000,0.122134,0.366414,0.0003482432,0.0003056,0.13443399031969555
no_importance_sampling,10000,0.140808,0.269539,0.0027698079999999995,0.0034032,0.23187532678215247
no_importance_sampling,100000,0.20568,0.066995,0.02500496,0.032891199999999995,0.028654989826346126
no_importance_sampling,1000000,0.183756,0.046738,0.10475636000000002,0.3262482,0.00859774056262574
no_importance_sampling,10000000,0.191025,0.00902881,0.8515582,3.090702,0.006693304104894682
no_importance_sampling,100000000,0.192471,0.00152991,8.520786000000001,29.381880000000002,0.0009739476070683679
no_importance_sampling,1000000000,0.192261,0.00261722,91.32978,nan,0.00031587068499371696
importance_sampling,1000,0.220074,0.141665,0.0005288586,0.00044860000000000006,0.052478112509559645
importance_sampling,10000,0.197875,0.0265038,0.00493595,0.0048254000000000005,0.009458407921372392
importance_sampling,100000,0.195131,0.0122716,0.03278686000000001,0.0480236,0.003511329506229798
importance_sampling,1000000,0.192313,0.00234779,0.15871200000000002,0.4711302,0.001036016013599983
importance_sampling,10000000,0.193096,0.00171425,1.236776,4.575087999999999,0.000336157591800334
importance_sampling,100000000,0.192688,0.000403855,13.06474,42.41482,0.00010371553628266115
importance_sampling,1000000000,0.192784,9.70237e-05,141.53500000000003,nan,3.2874490954598824e-05
