temperature,matrix_size,steps,energy_pP,energySquared_total,magnetic_pP,magneticSquared_total,magneticAbsolute_pP,E_var,M_abs_var,Cv,Xi
2,40,10000,-1.746764,7815551.7,0.91243463,2132333.5,0.91243463,2.8246393,0.64934291,0.70615982,0.32467146
2.1,40,10000,-1.6640235,7095349.8,0.87011213,1941071.9,0.87011213,4.2349063,1.8177616,0.96029622,0.86560078
2.2,40,10000,-1.5203332,5934444.5,0.66381738,1350265.8,0.68857637,10.766725,85.296239,2.22453,38.771018
2.3,40,10000,-1.3553865,4720676.4,0.24335,742159.18,0.490258,11.106629,79.284834,2.0995518,34.471667
2,60,10000,-1.7435001,39406057,0.90997333,10734317,0.90997333,2.8734292,0.769387,0.7183573,0.3846935
2.1,60,10000,-1.6607983,35762302,0.86789672,9769012.6,0.86789672,4.2688091,1.9336256,0.96798393,0.92077411
2.2,60,10000,-1.5434274,30898819,0.78132572,7947112.7,0.78132572,7.1994983,9.8397132,1.4874997,4.4725969
2.3,60,10000,-1.3425503,23394131,-0.31751094,2311226.2,0.37025528,9.5807729,148.48697,1.8111102,64.559554
2,80,10000,-1.7465377,1.2496299e+08,0.91180037,34058253,0.91180037,2.9455816,0.77055423,0.73639539,0.38527712
2.1,80,10000,-1.6638839,1.1342562e+08,0.87092,31079239,0.87092,4.2924103,1.7204977,0.97333567,0.8192846
2.2,80,10000,-1.5464559,98002359,0.78198856,25130748,0.78198856,7.1037207,13.040247,1.4677109,5.9273849
2.3,80,10000,-1.3503074,74748183,-0.11669113,6568769.8,0.33956487,10.090524,288.42274,1.9074715,125.40119
2,100,10000,-1.7453516,3.0465356e+08,0.91100904,83001419,0.91100904,2.8355749,0.7672191,0.70889373,0.38360955
2.1,100,10000,-1.661517,2.7610692e+08,0.8686032,75468051,0.8686032,4.3057797,2.0898732,0.97636728,0.9951777
2.2,100,10000,-1.5449961,2.3876192e+08,0.7856722,61796643,0.7856722,6.0617195,6.8562553,1.2524214,3.1164797
2.3,100,10000,-1.3576981,1.8443563e+08,0.44651416,21435967,0.44651416,10.121226,149.84775,1.9132753,65.151197
