omega,alpha,beta,energy,sigma,distance
0.5,0.84,0.7,2.0067088,0.14355435,2.7524748
0.5,0.94,0.7,1.9961107,0.14355435,2.7524748
0.5,0.94,0.4,1.9905211,0.14355435,2.7524748
0.5,1.04,0.4,1.9853656,0.14355435,2.7524748
0.5,1.04,0.3,1.9824975,0.14355435,2.7524748
0.5,1.07,0.3,1.9816863,0.14355435,2.7524748
0.5,1.07,0.27,1.981229,0.14355435,2.7524748
0.5,1.09,0.27,1.9808578,0.14355435,2.7524748
0.5,1.09,0.25,1.9806148,0.14355435,2.7524748
0.5,1.11,0.25,1.9803057,0.14355435,2.7524748
0.5,1.11,0.23,1.9800917,0.14355435,2.7524748
0.5,1.12,0.23,1.979858,0.14355435,2.7524748
0.5,1.12,0.22,1.9798399,0.14355435,2.7524748
0.5,1.14,0.22,1.9796036,0.14355435,2.7524748
0.5,1.14,0.21,1.9793974,0.14355435,2.7524748
0.5,1.15,0.21,1.97939,0.14355435,2.7524748
0.5,1.15,0.19,1.979215,0.14355435,2.7524748
0.5,1.17,0.19,1.978938,0.14355435,2.7524748
0.5,1.17,0.18,1.97887,0.14355435,2.7524748
0.5,1.18,0.18,1.9786318,0.14355435,2.7524748
0.5,1.18,0.17,1.9786171,0.14355435,2.7524748
0.5,1.2,0.17,1.9784035,0.14355435,2.7524748
0.5,1.2,0.16,1.9782855,0.14355435,2.7524748
0.5,1.21,0.16,1.9781298,0.14355435,2.7524748
0.5,1.21,0.15,1.9780709,0.14355435,2.7524748
0.5,1.22,0.15,1.9778895,0.14355435,2.7524748
0.5,1.22,0.15,1.9778895,0.14355435,2.7524748
0.5,1.23,0.15,1.9778847,0.14355435,2.7524748
0.5,1.23,0.14,1.9776574,0.14355435,2.7524748
